job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist - QuantumBlack,McKinsey & Company,København,"As a data scientist at QuantumBlack, you will work with other data scientists, data engineers, designers and strategy consultants on interdisciplinary projects,…",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=f25eb97b5f424cd7&fccid=6576e7250aa78c3c&vjs=3
Programme VIE_DATA SCIENTIST (H/F)_DANEMARK,TotalEnergies,Esbjerg,"Data collection et préparation de données, en général abondantes et de bonne qualité;
Développement d'un savoir-faire en matière de connexions python à des…",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=37f7e3fb92c091fc&fccid=69dbe38049ba4f7f&vjs=3
"DATA SCIENTIST/SOFTWARE ENGINEER, R&D DIGITALIZATION, LYNGBY",Novozymes,Eksternt in Kongens Lyngby,We’re looking for a passionate data scientist/application developer to help spearhead data solutions and infrastructure build-up for our application development…,Posted2 dage siden,,,https://www.indeed.com/rc/clk?jk=4b3ed285aae0c447&fccid=70bb6ba3b2bf0f0c&vjs=3
Data scientist at PA Consulting,PA Consulting,København,"An understanding of data platforms, designing business intelligence solutions or applying machine learning techniques.
Fluent in either Danish or English.",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=a89361e1a8668297&fccid=cf94a2aa6eb7d672&vjs=3
Data Scientist for Decision Modeling,Danske Bank,Kongens Lyngby,"Experience working with data (SQL querying and data manipulation skills).
Doing credit data analysis and profiling, ensuring the right data quality is in place.",Posted24 dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=92a226ee31318e89&fccid=a55c9f39750a39af&vjs=3
Data Scientist,ECCO,København,We lead our data science and advanced analytics initiatives and capabilities in the ECCO Group and drive an ambitious strategy to generate unique and actionable…,Posted4 dage siden,,,https://www.indeed.com/rc/clk?jk=13633bf95eeaddca&fccid=5f667906e8d797da&vjs=3
Data Scientist Intern for Sports and Equine,StepUp Air,København,"Basically, as a data scientist intern you will be participating in developing our algorithms that converts raw data into useful insights for athlete and…",Posted30 dage siden,Fuldtid +1,,https://www.indeed.com/rc/clk?jk=3746d96fa47967d4&fccid=026067d921f69ba5&vjs=3
Data Scientist for Customer Insights & Analytics,Trackunit,Eksternt in Danmark,"Experience in applying data science techniques to business problems.
That’s why we challenge the status quo in the way we collect, analyze and present data in…",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=5707b7e6e412d392&fccid=c5c6c40300524021&vjs=3
"Data Scientist, Maternity Leave cover",LEGO,Delvist fjernarbejde in Billund,"Collaborating with stakeholders to ensure that data science work is delivering real value.
Working with disparate datasets and running algorithms on large data…",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=042bf636a164b455&fccid=7ffb2f076144ee5d&vjs=3
Data Scientist - Audio Fingerprinting,Utopia Music,Danmark,"Coordinate with [data] engineers to set up and build the right databases, data lakes, data pipelines, services, etc.",Posted23 dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=86e52de0ff1dc554&fccid=e5bee5e820a0f5f2&vjs=3
Graduate Data Scientist- Denmark,Gentrack,Vester Hassing,"Our product, is cloud-based system that collects and analyzes data via proprietary (Bluetooth / WiFi) sensors, as well as third-party data sources such as…",Posted23 dage siden,,,https://www.indeed.com/rc/clk?jk=6c1d011441c02fb7&fccid=8e3f75f93aac42d8&vjs=3
Data Scientist with Computer Vision,FORM,Eksternt in København,"As a Data Scientist at FORM, you will be part of Machine Learning Team and will work directly with developers and product owner to build the world's first fully…",Posted1 dag siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=82f46688add429c7&fccid=026067d921f69ba5&vjs=3
Senior Decision Scientist,LEGO,Delvist fjernarbejde in Billund,"Collaborating with partners to ensure that data science work is delivering real value.
Transforming complex business problems into prototypes and actual…",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=a6d194b24b18809a&fccid=7ffb2f076144ee5d&vjs=3
"Data Scientist, Game Teams",Tactile Games,København,"Experience using SQL to extract and transform large data-sets.
Experience with data visualization tools (e.g., Looker, Periscope, Table).",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=8221360af4fe07eb&fccid=663deb5a20885851&vjs=3
Data Scientist,NØIE ApS,Eksternt in København,"Give input and direction on our data setup.
Proactively lead our data infrastructure with full ownership and responsibility.
Knowledge of SQL and Python.",Posted30+ dage siden,Fuldtid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAmhJ986uAktlyWk3EclQUVDJ6XDMi3gkDDk9CRo_-FeLo-idDf3Uu2-n97pQMf50p6-7Z0p1SJEYraa2U9yKWMpaEvNJzAo5AJ_-Hwe48v5qWPBF-l_M42CmLuhQvkN2QJHTid71kcsitIhrrkAG0_1PhwdG9bSf-gN1vh8nbpVKowrYydyGBDsfLmTh1XEUBgYYjfeI9FG_Djug4WhnQZJJxn-QdZTIyL4VxMJjX2wfwuTwU1U2u37buRvDnysbCDsFFjyzFrGb45ppA0haNvt_jk612v_yyxrzI_AKfr2cvYUzwFkEN5aQ-TskLE8rC9dWp7_EjWd0Hd4vTZbOmWnkl-2umd0K5VJwIA0BhGLub9xjzJjK6cigRcC0hkwRAUuZTOVGsBSpHW3P6V9xBQJ-t17HeCrEWYmHCrbSGHLA=&xkcb=SoCD-_M3b6PijtxigB0DbzkdCdPP&p=14&fvj=0&vjs=3
Data Scientist,Wunderman,2100 København,"Working with large bodies of image and text data to build machine learning MVPs.
Implementing solutions on AWS, GCP or Azure to facilitate batch and real-time…",Posted30+ dage siden,,,https://www.indeed.com/rc/clk?jk=daf641fa2739c9b1&fccid=bfef2b2da6904e2a&vjs=3
"Data Scientist wanting to build world class ML solutions , L...",Terma A/S,Danmark,"Develop Data Science AI solutions in e.g. image recognition, behavioral anomaly detection, signal processing.
Linux and Docker knowledge is useful.",Posted19 dage siden,,,https://www.indeed.com/rc/clk?jk=da4edaba1ccb92c8&fccid=debe58c185eb0e4f&vjs=3
Research Scientist,Lundbeck,København,Our department supports research projects with generating strong in vivo pharmacology data packages for new drug candidates in Lundbeck’s R&D pipeline.,Posted12 dage siden,,,https://www.indeed.com/rc/clk?jk=0dbb9ae224a07644&fccid=884e0310e97a8b3a&vjs=3
Data Scientist,Ntropy Network,Eksternt in København,"Push the limits of what can be done with data.
Recognized open-source contributions and/or top performance in data competitions (Kaggle, Numerai, etc.).",Posted8 dage siden,Fuldtid,,https://www.indeed.com/rc/clk?jk=989c24cd8a28aac0&fccid=026067d921f69ba5&vjs=3
Senior Data Scientist,Novo Nordisk,Bagsværd,"Cooperating across data science, data engineering and cloud infrastructure to accelerate data science solutions and mature our platforms.",Posted15 dage siden,,,https://www.indeed.com/rc/clk?jk=1d29b13000d724b6&fccid=0ee07a80a4e05d45&vjs=3
